interaction_id,lead_id,session_id,visitor_id,timestamp,page_name,page_category,page_url,page_depth,event_type,event_name,event_value,button_name,button_location,cta_type,form_name,form_step,form_completed,session_duration_seconds,time_on_page_seconds,scroll_depth_percent,click_count,mouse_activity_score,device_type,browser,operating_system,screen_size,traffic_source,utm_source,utm_medium,utm_campaign,referrer_type,session_number,is_return_visitor,previous_session_gap_days,funnel_stage
INT-015483,LEAD-00612,S-B7F581FEC7C5,V-E3A7D06E94,2026-07-01 00:00:00,Landing Page,landing,/lp/campaign,2,track,page_view,0.08,Learn More,navbar,,,,False,1085.0,223,55,11,0.98,Mobile,Chrome,iOS 17,360x780,linkedin,linkedin,,bfsi_jan,social,1,False,,Awareness
INT-029965,LEAD-01737,S-EDF8EFAB7165,V-571AC6DA98,2026-05-09 03:59:23,Pricing,pricing,/pricing,5,track,page_view,0.03,View Pricing,footer,primary,,,False,91.0,209,97,6,0.5,Desktop,Brave,macOS Sonoma,1440x900,referral,,referral,startup_apr,,12,True,0.0,Evaluation
INT-050883,LEAD-00326,S-349F82A92570,V-BC9E4D707F,2026-01-26 05:17:02,Case Studies,social_proof,/case-studies,4,track,page_view,0.08,View Pricing,sidebar,inline,,,False,698.0,199,24,5,0.85,Mobile,Firefox,iOS 17,360x780,google,google,cpc,startup_apr,direct,1,False,,Awareness
INT-055123,LEAD-00369,S-E745DD98EA0C,V-585D55675D,2026-05-03 03:07:29,,product,/features,3,track,page_view,0.03,,,inline,,,False,11.0,8,25,1,0.3,Desktop,Chrome,Linux,1920x1080,google,google,cpc,product_launch,referral,4,True,28.0,Awareness
INT-021599,LEAD-01929,S-D05DBEC8F4D3,V-D45BFB1704,2026-01-15 03:34:26,Pricing,pricing,/pricing,5,track,pricing_page_view,0.8,View Pricing,sidebar,secondary,,,False,176.0,15,79,1,0.84,Mobile,Chrome,iOS 17,375x667,organic,google,organic,startup_founders,search,2,True,2.0,Awareness
INT-064619,LEAD-01709,S-CC182270A275,V-FF96AC297E,2026-03-20 08:00:53,Partners,partnerships,/partners,3,track,page_view,0.06,Download PDF,sidebar,primary,,,False,1356.0,157,71,2,0.99,Mobile,Chrome,Android 13,375x667,direct,partner,referral,product_launch,,6,True,16.0,Evaluation
INT-056937,LEAD-00693,S-CD6BC74F926B,V-30CE987773,2026-05-21 23:26:04,Resources,resources,/resources,2,track,document_download,0.29,Download PDF,footer,primary,,,False,939.0,59,100,12,0.78,Mobile,Safari,Android 14,414x896,linkedin,linkedin,social,startup_apr,direct,6,True,4.0,Consideration
INT-020624,LEAD-01431,S-39AE66A90A3E,V-28038B9845,2026-03-09 13:18:15,Blog,blog,/blog,2,track,blog_read,0.12,Contact Sales,inline,primary,,,False,1238.0,25,20,1,0.63,Mobile,Safari,iOS 17,375x667,direct,,,retargeting,email,2,True,11.0,Awareness
INT-010902,LEAD-01978,S-F2FAD7D0DAEF,V-74984DD80A,2026-04-22 14:34:20,Demo,conversion,/demo,6,track,demo_request,0.99,Request Demo,navbar,secondary,demo_request_form,1.0,True,1751.0,297,59,6,0.8,Mobile,Brave,Android 13,390x844,organic,google,,bfsi_jan,social,9,True,14.0,Decision
INT-021085,LEAD-00398,S-80FE4F40DED9,V-60F0BAA2BE,2026-04-25 18:58:38,Resources,resources,/resources,2,track,resource_view,0.1,Download PDF,sidebar,primary,,,False,142.0,28,32,3,0.43,Mobile,Safari,iOS 16,390x844,direct,google,cpc,startup_founders,social,1,False,,Awareness
